tool_name,slug,rating,recommendable,verdict_summary
auto-changelog,auto-changelog,situational,yes,"Situational; works for simple generated changelogs/backfills, prefer more active tools for new automated release workflows."
cargo-dist,cargo-dist,situational,yes,"Situational; correctly classified as not a changelog tool."
cargo-release,cargo-release,recommended,yes,"Strong recommendation as a release orchestrator (not a changelog tool)."
cargo-smart-release,cargo-smart-release,situational,yes,"Works well in its intended context: multi-crate Gitoxide-style workspaces publishing to crates.io."
changelog-from-release,changelog-from-release,situational,yes,"Situational."
changelog-generator,changelog-generator,situational,yes,"Narrow fit, use with clear expectations."
changelogithub,changelogithub,recommended,yes,"Recommended."
changelog-rs,changelog-rs,unmaintained,no,"Unmaintained; does not install out of the box. Use git-cliff instead."
changesets,changesets,recommended-with-caveats,yes,"Recommended (with caveats)."
changesets-changelog-github,changesets-changelog-github,recommended-with-caveats,yes,"Recommended with Changesets."
changie,changie,recommended-with-caveats,yes,"Recommended with caveats."
Spotless Changelog,com-diffplug-spotless-changelog,situational,yes,"Situational, with caveats."
commit-and-tag-version,commit-and-tag-version,recommended,yes,"Recommended; no reservations for single-package npm projects."
conventional-changelog,conventional-changelog,recommended,yes,"Recommended."
conventional-changelog-cli,conventional-changelog-cli,deprecated,no,"Do not start here; works but deprecated and buggy on breaking changes."
Create release notes from changelog,create-release-notes-from-changelog,situational,yes,"Situational."
dotnet-releaser,dotnet-releaser,recommended-with-caveats,yes,"Recommended with caveats."
git-changelog-maven-plugin,git-changelog-maven-plugin,recommended-with-caveats,yes,"Recommended with caveats."
git-chglog,git-chglog,legacy,no,"Legacy; use only for existing installations. New projects: prefer git-cliff."
git-cliff,git-cliff,recommended,yes,"Recommended; the default Rust-era changelog generator to evaluate first."
GitHub Automatically Generated Release Notes,github-automatically-generated-release-notes,recommended,yes,"Recommended."
github_changelog_generator,github-changelog-generator,situational,yes,"Situational."
GitHub/GitLab + git-cliff/Changie pattern,github-gitlab-git-cliff-changie-pattern,recommended,yes,"Recommended."
github-release-from-changelog,github-release-from-changelog,situational,yes,"Situational."
GitLab Changelogs,gitlab-changelogs,recommended,yes,"Recommended."
GitReleaseManager,gitreleasemanager,situational,yes,"Situational; CI-only."
GitReleaseNotes,gitreleasenotes,avoid,no,"Avoid; broken install, unmaintained."
GitVersion,gitversion,recommended-with-caveats,yes,"Recommended, with a v6 migration warning."
glab changelog,glab-changelog,recommended,yes,"Recommended."
glab release,glab-release,recommended,yes,"Recommended."
GoReleaser,goreleaser,recommended,yes,"Recommended for Go release pipelines; not recommended as a changelog-only tool."
Keep a Changelog,keep-a-changelog,recommended,yes,"Recommended."
keepachangelog,keepachangelog,situational,yes,"Situational (confirmed, with a bug caveat)."
keepachangelog-manager-fork,keepachangelog-manager,recommended-with-caveats,yes,"Recommended with caveats; strongest fit for KAC-native workflows with tasks, fragments, validation, and release automation."
python-kacl,python-kacl,situational,yes,"Situational; strong KAC verification and release helpers, but format conventions and repo migration details need attention."
logchange,logchange,situational,yes,"Situational."
maven-changelog-plugin,maven-changelog-plugin,unmaintained,no,"Appears unmaintained for modern toolchains; does not currently work as tested."
Nerdbank.GitVersioning,nerdbank-gitversioning,recommended-with-caveats,yes,"Recommended with caveats."
GitHub Release Notes (net.wooga),net-wooga-github-release-notes,internal-only,no,"Wooga-internal tooling; does not work out of the box and has no local use case."
org.jetbrains.changelog (Gradle Changelog Plugin),org-jetbrains-changelog,conditional,yes,"Conditionally recommended; best for IntelliJ plugin projects."
release-cli,release-cli,avoid,no,"Avoid; deprecated. Use glab release plus a generator instead."
Release Drafter,release-drafter,recommended,yes,"Recommended."
release-it,release-it,conditional,yes,"Conditional (downgraded from Recommended)."
release-please,release-please,recommended,yes,"Recommended."
release-plz,release-plz,recommended,yes,"Recommended for crates.io + GitHub projects; CI-native with limited local utility."
reno,reno,situational,yes,"Situational (confirmed, narrower fit than the original article suggested)."
scriv,scriv,recommended,yes,"Recommended (confirmed)."
semantic-release,semantic-release,recommended,yes,"Recommended, with a sharp scope caveat."
@semantic-release/release-notes-generator,semantic-release-release-notes-generator,recommended,yes,"Recommended with semantic-release."
standard-version,standard-version,unmaintained,no,"Works correctly but unmaintained; prefer the maintained drop-in (commit-and-tag-version) for new projects."
towncrier,towncrier,recommended,yes,"Recommended (unchanged)."
versionize,versionize,recommended-with-caveats,yes,"Recommended (with caveats)."
